Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins],Peak Occ#1 In-Office Duration [mins],Daily Occ#1 In-Office Duration [mins],Peak Occ#2 In-Office Duration [mins],Daily Occ#2 In-Office Duration [mins],Peak Occ#3 In-Office Duration [mins],Daily Occ#3 In-Office Duration [mins],Peak Occ#4 In-Office Duration [mins],Daily Occ#4 In-Office Duration [mins],Peak Occ#5 In-Office Duration [mins],Daily Occ#5 In-Office Duration [mins],Peak Occ#6 In-Office Duration [mins],Daily Occ#6 In-Office Duration [mins],Peak Occ#7 In-Office Duration [mins],Daily Occ#7 In-Office Duration [mins],Peak Occ#8 In-Office Duration [mins],Daily Occ#8 In-Office Duration [mins],Peak Occ#9 In-Office Duration [mins],Daily Occ#9 In-Office Duration [mins],Peak Occ#10 In-Office Duration [mins],Daily Occ#10 In-Office Duration [mins],Peak Occ#11 In-Office Duration [mins],Daily Occ#11 In-Office Duration [mins]
5.86532333333333,10.3340733333333,15.04285,29.91385,0.220184561657753,0.309077679179822,1.67765432326,3.21038723925999,0,80,1,27,0,7,6,37,6,10,0,0,7,0,0,18,2,5,0,0,12,0,3.09090909090909,16.7272727272727,0,230,7,62,0,11,17,85,14,26,0,0,29,0,0,46,11,16,1,0,38,0,10.6363636363636,43.2727272727273,240,840,180,540,240,600,180,540,240,540,180,540,180,540,180,600,180,480,240,540,240,600
6.21540333333333,14.8929033333333,16.583255,39.323755,0.250400077266697,0.242549276724294,1.82575136161,4.34399138461001,0,59,1,23,0,4,4,48,3,7,1,0,4,0,0,25,4,9,0,0,11,0,2.54545454545455,15.9090909090909,0,169,5,61,0,11,26,329,9,13,1,0,23,0,0,54,22,23,0,0,38,0,11.2727272727273,60,180,540,180,540,180,600,240,840,180,480,180,480,180,540,240,600,240,600,240,540,240,600
6.08552,13.56752,16.4382533333333,38.4262533333334,0.259590434993499,0.29384112042843,1.802642682,4.151636418,0,86,1,15,0,7,8,41,1,7,0,0,6,0,0,25,9,8,1,0,7,0,3,17.1818181818182,0,195,2,40,0,16,20,88,7,15,0,0,29,0,0,48,21,17,1,0,33,0,10.2727272727273,38.0909090909091,240,600,180,540,180,540,180,480,180,540,180,480,180,600,240,540,240,600,300,840,180,600
6.99348833333334,21.6842383333333,18.3100133333333,53.7880133333334,0.236102322153779,0.193714845017515,2.0282413558,6.06604204179997,0,65,1,40,0,2,10,34,1,13,0,0,6,0,0,29,3,6,0,0,8,0,2.63636363636364,17.1818181818182,0,145,4,87,0,8,30,102,9,29,1,0,27,0,0,54,15,22,2,0,45,0,12.0909090909091,40.6363636363636,180,480,180,480,240,600,180,540,180,540,180,540,240,600,240,600,180,540,180,540,300,900
5.70136666666666,12.3051166666667,16.2091833333333,35.5266833333333,0.296526351831421,0.307274672886718,1.7492087639,3.8157919589,0,76,2,31,0,1,5,50,3,12,0,0,5,0,0,11,7,10,0,0,8,0,2.72727272727273,17.3636363636364,0,187,7,76,0,8,40,120,11,20,1,0,18,0,0,30,20,20,0,0,29,0,11.4545454545455,41.9090909090909,180,540,180,540,180,540,240,780,180,540,240,600,180,540,180,480,240,600,240,600,240,600
6.70801666666667,14.1860166666667,16.20797,35.03397,0.1722570233451,0.190156487165647,1.84433117702,3.95691592501999,0,79,2,59,0,5,10,44,4,13,0,0,0,0,0,25,9,9,0,0,6,0,2.81818181818182,21.2727272727273,0,172,4,95,0,10,31,126,13,26,1,0,15,0,0,53,23,21,0,0,44,0,11.9090909090909,45.7272727272727,180,540,240,540,240,540,240,780,180,480,180,540,180,480,240,600,240,600,180,600,180,660
5.62722833333333,12.8789783333333,15.754905,36.084405,0.285653790570831,0.286174826308854,1.70828640331,3.91170178231,0,88,2,26,0,8,4,47,5,9,0,0,7,0,0,26,6,8,0,0,9,0,3,19.2727272727273,0,199,11,93,0,15,16,91,10,20,1,0,38,0,0,48,15,25,1,0,29,0,11,44.6363636363636,240,660,180,600,180,540,240,540,180,540,180,540,240,720,180,540,240,600,180,480,240,600
5.91581833333333,13.3613183333333,15.92092,37.11617,0.256849687915858,0.280027096905023,1.74797475556,4.03434055905998,0,95,0,41,0,3,9,45,8,15,1,0,6,0,0,21,2,5,0,0,16,0,3.81818181818182,20.4545454545455,0,179,4,94,0,11,29,94,14,27,1,0,20,0,0,37,9,9,0,0,66,0,13,41,240,600,180,540,180,540,240,600,240,600,240,660,180,480,180,480,180,480,180,540,240,840
4.87965333333333,9.06465333333333,14.3600066666667,26.7205066666667,0.320382859617986,0.321520849405051,1.53345418852,2.85195011152,0,100,3,31,0,5,5,52,1,11,0,0,5,0,0,21,4,12,0,0,6,0,2.18181818181818,21.0909090909091,0,183,6,68,0,8,17,125,6,20,1,0,35,0,0,48,14,24,1,0,24,0,9.45454545454546,43.2727272727273,240,540,240,660,240,660,240,600,180,480,180,540,240,720,180,600,180,540,180,540,180,480
6.04423833333334,15.5084883333333,15.78268,38.90743,0.234066922305548,0.202800681857767,1.7498021698,4.37113888029995,0,71,1,44,0,0,13,45,5,11,1,0,4,0,0,27,7,6,0,0,9,0,3.63636363636364,18.5454545454545,0,173,6,94,0,5,31,102,13,20,1,0,24,0,0,42,20,24,1,0,36,0,12,41.8181818181818,180,660,180,600,180,540,180,540,180,540,180,480,180,480,240,540,240,600,240,600,300,780
