Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
7.900458333,14.32045833,17.18286667,37.82286667,0.080426045,0.242761874,2.029889216,4.177811936,0,118,1,32,0,5,6,48,4,7,0,0,16,0,0,49,3,7,0,0,17,0,4.272727273,24.18181818,0,268,2,75,0,15,17,110,12,13,2,0,38,0,0,108,17,18,1,0,53,0,12.90909091,55.18181818
9.452631667,23.93263167,19.04600667,47.78600667,0.007389651,-0.001658575,2.315775927,5.830678287,0,109,0,41,0,12,5,55,3,7,0,0,15,0,0,39,1,5,0,0,13,0,3.363636364,24.36363636,0,228,1,104,0,26,22,117,11,18,2,0,45,0,0,90,7,19,2,0,47,0,12.45454545,54.72727273
7.843968333,14.66396833,16.40522333,30.02522333,0.043723066,0.023223363,1.966498202,3.628239602,0,106,0,30,0,10,6,31,7,7,1,0,16,0,0,30,3,5,0,0,18,0,4.636363636,19.90909091,0,345,1,76,0,15,18,78,18,18,1,0,45,0,0,91,13,14,1,0,49,0,13.27272727,57.90909091
8.490968333,16.93096833,17.79067,38.83067,0.045458284,0.12795899,2.131112102,4.499952902,0,75,0,26,0,5,5,41,4,5,1,0,11,0,0,42,5,11,0,0,20,0,4.181818182,18.63636364,0,242,1,85,0,18,26,328,9,10,2,0,39,0,0,100,20,26,0,0,46,0,13,73.54545455
8.437818333,15.67781833,18.11712667,40.77712667,0.068525767,0.231048403,2.150453646,4.526720166,0,102,1,30,0,8,6,39,4,4,2,0,10,0,0,46,6,9,1,0,11,0,3.727272727,21.63636364,0,273,2,92,0,23,17,93,9,12,2,0,39,0,0,94,19,19,1,0,43,0,12,55.09090909
9.270516667,23.71051667,19.64167833,55.38167833,0.056036199,0.143741491,2.343015269,6.376656269,0,89,0,35,0,4,7,44,2,6,0,0,15,0,0,58,4,9,0,0,20,0,4.363636364,22.27272727,0,219,1,88,0,15,23,110,9,20,1,0,43,0,0,124,11,25,3,0,65,0,14.18181818,54.63636364
8.435225,16.875225,17.76690833,38.66690833,0.050456631,0.12714899,2.124065961,4.482456321,0,96,1,41,0,3,5,47,3,9,0,0,12,0,0,25,4,12,0,0,11,0,3.272727273,21.18181818,0,270,4,104,0,12,30,127,12,20,0,0,31,0,0,68,13,25,0,0,36,0,11.45454545,56.90909091
8.200558333,15.44055833,17.53222,36.75222,0.064515694,0.159748264,2.084351704,4.203835984,0,98,0,55,0,6,8,48,2,7,0,0,8,0,0,48,4,7,0,0,11,0,3,24.45454545,0,258,2,100,0,15,21,145,10,18,1,0,25,0,0,109,12,19,0,0,53,0,11.27272727,60.36363636
7.922215,15.222215,17.06025,37.16025,0.071266248,0.18072591,2.022794205,4.213642005,0,104,1,32,0,12,5,44,3,8,0,0,16,0,0,39,3,11,1,0,16,0,4.090909091,22.72727273,0,282,7,87,0,23,14,94,8,16,3,0,58,0,0,94,12,22,2,0,35,0,12.63636364,56.18181818
8.311663333,15.55166333,17.70756167,40.12756167,0.061230056,0.224888696,2.107949013,4.466300493,0,116,0,24,0,3,8,38,5,9,1,0,13,0,0,35,1,6,0,0,26,0,4.909090909,21,0,254,1,105,0,10,27,104,9,18,1,0,37,0,0,74,6,11,0,0,81,0,14.72727273,52.36363636
7.884483333,16.06448333,16.38885667,32.74885667,0.037823871,0.0189286,1.969108566,3.964014246,0,126,1,43,0,6,8,38,1,4,0,0,9,0,0,33,4,11,0,0,11,0,3.090909091,23.72727273,0,270,4,106,0,16,19,114,7,11,1,0,49,0,0,88,13,22,1,0,31,0,11.36363636,57
8.382803333,18.00280333,17.51954167,39.99954167,0.043033945,0.099849519,2.100642778,4.688582938,0,88,1,34,0,5,7,42,6,7,1,0,9,0,0,42,5,8,0,0,16,0,4.090909091,20.54545455,0,272,5,84,0,14,21,106,13,15,1,0,28,0,0,85,17,21,1,0,231,0,28.81818182,54.27272727
8.526963333,16.96696333,17.97648,39.89648,0.051320021,0.149450612,2.148386626,4.582915906,0,83,1,47,0,5,3,38,4,6,0,0,13,0,0,57,3,9,0,0,14,0,3.454545455,22.27272727,0,241,3,134,0,7,14,87,13,13,1,0,32,0,0,107,12,23,1,0,40,0,10.54545455,55.63636364
8.492428333,16.93242833,17.82289,39.04289,0.047020059,0.132624233,2.133655288,4.515932368,0,86,1,43,0,6,4,39,2,8,0,0,9,0,0,43,9,10,0,0,15,0,3.636363636,21.36363636,0,241,1,90,0,16,17,112,9,21,1,0,33,0,0,115,16,23,1,0,59,0,12.45454545,56.18181818
8.087215,15.067215,17.04508167,34.44508167,0.051079349,0.125145636,2.03726831,3.99630503,0,95,1,30,0,14,3,45,2,8,0,0,8,0,0,40,2,10,1,0,16,0,3,22,0,302,6,86,0,24,27,144,6,14,3,0,44,0,0,93,10,21,2,0,32,0,11.81818182,62.18181818
8.472478333,16.87247833,18.023305,40.023305,0.059830777,0.156867314,2.146728516,4.583446116,0,132,0,40,0,3,7,44,3,10,0,0,13,0,0,34,4,9,0,0,10,0,3.363636364,24.72727273,0,382,0,113,0,12,24,113,10,27,2,0,46,0,0,99,11,22,3,0,38,0,12.18181818,69.81818182
8.62445,18.24445,18.33640333,44.61640333,0.059308432,0.182164019,2.184474142,5.056069102,0,84,1,34,0,12,3,33,2,8,0,0,13,0,0,49,2,8,0,0,16,0,3.363636364,20.72727273,0,213,6,92,0,22,17,88,12,21,1,0,47,0,0,87,12,20,1,0,52,0,13.45454545,49.36363636
9.157231667,22.39723167,19.32286333,52.74286333,0.052186883,0.150700957,2.308502056,6.055463536,0,80,1,33,0,9,7,38,7,10,0,0,16,0,0,50,2,6,0,0,24,0,5.181818182,20.54545455,0,218,1,81,0,14,22,101,13,19,0,0,48,0,0,114,10,18,2,0,254,0,31.81818182,51.36363636
8.858411667,19.71841167,18.54675167,45.26675167,0.044747908,0.128790517,2.222304834,5.244028194,0,84,0,60,0,7,2,44,2,8,1,0,12,0,0,27,2,6,0,0,17,0,3.272727273,21.45454545,0,231,0,148,0,12,18,115,10,18,1,0,32,0,0,84,8,16,2,0,48,0,10.81818182,56.72727273
7.51798,11.13798,16.62841667,31.04841667,0.095767186,0.282541192,1.952325411,3.371114811,0,88,0,40,0,3,6,41,3,6,0,0,11,0,0,41,2,9,0,0,14,0,3.272727273,20.72727273,0,222,0,107,0,15,17,98,15,22,2,0,50,0,0,95,9,24,1,0,41,0,12.27272727,53
8.17765,17.87765,17.0938,37.5538,0.043202799,0.047891292,2.049458642,4.494180602,0,125,0,32,0,5,7,36,2,4,0,0,5,0,0,32,7,11,0,0,16,0,3.363636364,22.27272727,0,288,2,93,0,13,17,97,10,14,1,0,35,0,0,87,17,23,1,0,52,0,12.27272727,55.90909091
8.220076667,15.46007667,17.46472167,36.02472167,0.058665025,0.14169626,2.081159345,4.151377265,0,108,1,54,0,3,7,43,6,12,0,0,15,0,0,35,5,6,0,0,16,0,4.545454545,23.72727273,0,258,5,112,0,10,17,94,14,22,1,0,44,0,0,93,12,16,0,0,53,0,13.27272727,55
8.257936667,15.49793667,17.96873833,42.44873833,0.080855148,0.269804603,2.122363123,4.634485363,0,122,2,36,0,8,3,36,5,8,0,0,12,0,0,41,2,9,0,0,18,0,3.818181818,23.63636364,0,269,2,84,0,15,11,90,11,17,2,0,32,0,0,106,10,22,0,0,64,0,12,54.81818182
8.417311667,15.65731167,18.10080667,40.48080667,0.069951763,0.226432823,2.147295821,4.502661461,0,118,0,31,0,7,8,36,4,4,2,0,12,0,0,53,5,5,0,0,14,0,4.090909091,23.09090909,0,262,0,83,0,14,19,98,13,15,2,0,32,0,0,324,16,19,0,0,54,0,12.36363636,74.09090909
8.425018333,18.04501833,17.414635,39.414635,0.032420911,0.084349337,2.096804778,4.648914858,0,73,0,45,0,7,5,39,4,9,0,0,12,0,0,39,5,8,0,0,11,0,3.363636364,20,0,220,0,94,0,15,14,80,14,23,0,0,41,0,0,86,12,19,0,0,57,0,12.54545455,48.81818182
8.314796667,15.55479667,17.62655833,37.78655833,0.056560389,0.176702121,2.102198801,4.291850321,0,116,0,37,0,7,11,49,2,5,0,0,8,0,0,53,1,3,1,0,9,0,2.909090909,24.54545455,0,291,1,88,0,16,23,101,15,24,1,0,37,0,0,108,9,16,2,0,36,0,11.27272727,58.54545455
8.343001667,16.00300167,17.86661,40.58661,0.066078941,0.211414717,2.12278544,4.543256,0,85,1,41,0,9,7,38,2,5,1,0,17,0,0,28,6,9,1,0,8,0,3.909090909,19.54545455,0,227,5,113,0,19,15,88,16,15,1,0,46,0,0,93,16,30,1,0,29,0,11.72727273,53.18181818
8.624413333,19.44441333,18.16353667,43.82353667,0.050359686,0.112604102,2.171566869,5.110382109,0,90,0,52,0,9,8,37,3,8,0,0,14,0,0,35,3,6,0,0,17,0,4.090909091,21.54545455,0,239,0,111,0,15,28,112,12,21,1,0,42,0,0,100,8,18,1,0,58,0,13.63636364,56
7.80852,13.26852,16.5962,30.7562,0.058999048,0.137180796,1.977401001,3.550817001,0,101,0,42,0,2,6,51,7,10,0,0,11,0,0,47,4,7,2,0,14,0,4,23.63636364,0,260,1,121,0,7,16,106,17,19,1,0,35,0,0,122,8,17,2,0,52,0,12,59.27272727
8.541646667,17.10164667,18.24716833,41.36716833,0.063783869,0.173177795,2.169981236,4.705435796,0,115,1,26,0,10,6,39,5,3,1,0,8,0,0,42,6,13,0,0,17,0,4,22.54545455,0,284,2,86,0,20,21,108,18,22,2,0,33,0,0,97,15,20,0,0,59,0,13.63636364,57.90909091
7.530248333,13.53024833,16.39565167,32.87565167,0.081433482,0.176883338,1.936110823,3.733780903,0,93,0,30,0,7,8,45,5,7,0,0,19,0,0,32,2,9,1,0,14,0,4.454545455,20.27272727,0,224,0,83,0,14,23,100,15,18,0,0,55,0,0,95,14,24,1,0,46,0,14,50.72727273
8.72161,18.74161,18.49595833,43.21595833,0.056917209,0.132653273,2.205574066,4.998554866,0,110,0,37,0,7,5,33,5,8,0,0,16,0,0,34,1,5,1,0,15,0,3.909090909,21.27272727,0,258,2,286,0,16,23,106,15,25,1,0,44,0,0,84,9,13,2,0,43,0,12.63636364,71.63636364
8.375321667,15.61532167,18.09826333,40.73826333,0.074461288,0.233383046,2.143134389,4.517907989,0,88,0,53,0,7,7,27,4,7,1,0,14,0,0,38,2,9,0,0,10,0,3.454545455,20.81818182,0,213,2,144,0,12,17,88,11,16,1,0,41,0,0,102,11,26,1,0,43,0,11.54545455,54.63636364
8.324056667,16.76405667,17.52070167,39.30070167,0.049803276,0.146882577,2.095172872,4.519251712,0,80,0,46,0,6,4,30,5,8,0,0,19,0,0,45,1,4,0,0,17,0,4.181818182,19.90909091,0,203,0,102,0,15,21,89,16,25,1,0,42,0,0,90,8,15,1,0,60,0,13.54545455,49
9.265603333,22.52560333,19.35132333,50.77132333,0.042380392,0.112664321,2.320876707,5.920437867,0,112,0,62,0,8,5,42,4,7,1,0,16,0,0,35,3,7,0,0,10,0,3.545454545,24.81818182,0,321,1,137,0,21,15,94,17,21,1,0,40,0,0,73,15,22,3,0,41,0,12.09090909,62.63636364
8.133535,15.013535,17.70211667,37.84211667,0.081066388,0.206517165,2.090694475,4.244802835,0,84,3,45,0,9,10,39,2,5,0,0,18,0,0,22,4,6,1,0,11,0,4.454545455,19.09090909,0,226,6,107,0,20,18,104,15,11,1,0,45,0,0,85,9,22,2,0,36,0,12,52.27272727
8.563525,18.183525,18.28647,44.74647,0.063403161,0.187264381,2.174984288,5.060015528,0,96,1,29,0,9,9,43,3,6,0,0,11,0,0,45,4,7,0,0,20,0,4.363636364,21.36363636,0,243,2,93,0,26,18,110,14,18,1,0,33,0,0,104,10,19,1,0,68,0,13.36363636,55.72727273
7.881536667,13.42153667,17.83284,41.67284,0.116064893,0.355861676,2.076617439,4.380173439,0,80,1,31,0,4,5,61,8,8,1,0,14,0,0,50,5,7,1,0,16,0,4.636363636,21.90909091,0,230,4,82,0,16,21,131,16,19,1,0,31,0,0,95,17,22,3,0,45,0,12.54545455,54.09090909
8.571498333,18.19149833,18.15984167,44.23984167,0.055994156,0.177596589,2.166286139,5.022951899,0,103,0,35,0,3,7,36,6,7,1,0,18,0,0,35,1,7,0,0,20,0,4.818181818,20.54545455,0,227,1,98,0,13,18,104,10,20,1,0,44,0,0,99,11,24,0,0,50,0,12.27272727,53.18181818
8.141983333,17.48198333,17.28916,39.22916,0.058140091,0.108725074,2.060667989,4.581815789,0,92,0,25,0,4,11,44,5,6,0,0,9,0,0,41,3,9,2,0,16,0,4.181818182,20.09090909,0,274,2,93,0,14,20,113,13,21,1,0,43,0,0,111,15,26,2,0,50,0,13.27272727,59.27272727
8.654666667,18.45466667,18.10850833,41.12850833,0.044132569,0.10258517,2.170320705,4.815594825,0,82,0,40,0,1,6,42,8,11,0,0,8,0,0,29,4,8,2,0,14,0,3.818181818,19.36363636,0,246,1,93,0,7,21,106,21,31,0,0,26,0,0,75,11,24,2,0,52,0,12.18181818,52.90909091
8.275508333,17.89550833,17.63146833,38.65146833,0.061279733,0.074006287,2.098849265,4.577806265,0,109,1,40,0,5,4,43,4,6,0,0,8,0,0,41,5,6,0,0,19,0,3.727272727,22.72727273,0,515,3,82,0,14,22,104,15,24,0,0,30,0,0,104,14,20,2,0,47,0,12.09090909,78.45454545
8.575211667,18.01521167,17.70384333,38.54384333,0.031259879,0.065209377,2.13259891,4.58109451,0,93,1,49,0,10,9,34,4,6,0,0,17,0,0,34,4,8,1,0,20,0,5.090909091,21.27272727,0,254,4,131,0,15,17,74,10,16,1,0,36,0,0,92,16,25,1,0,37,0,11.09090909,55.18181818
8.188053333,17.18805333,16.94337,33.84337,0.033479959,-0.015741242,2.039213634,4.151987034,0,87,0,31,0,7,9,30,6,10,1,0,23,0,0,32,5,6,0,0,17,0,5.545454545,18.45454545,0,229,2,96,0,23,18,90,9,19,2,0,44,0,0,96,12,21,1,0,35,0,11.18181818,52.18181818
8.350701667,15.59070167,17.98459833,39.84459833,0.071349661,0.217424579,2.132321094,4.448870814,0,84,1,68,0,7,8,49,1,5,0,0,7,0,0,23,2,4,0,0,19,0,3.454545455,21.81818182,0,225,2,148,0,15,18,115,9,16,0,0,48,0,0,80,13,19,0,0,47,0,12.45454545,56.18181818
8.263378333,16.24337833,17.54792333,39.84792333,0.058193021,0.1847315,2.091465661,4.510851781,0,94,0,35,0,5,5,29,7,4,0,0,9,0,0,47,5,8,0,0,27,0,4.818181818,20.18181818,0,225,3,88,0,9,17,98,17,14,1,0,32,0,0,103,14,20,1,0,82,0,15.18181818,50.63636364
8.49774,17.45774,17.95503,42.19503,0.053441849,0.172521503,2.14402141,4.80091309,0,116,1,37,0,3,5,39,7,14,0,0,21,0,0,38,4,7,1,0,23,0,5.636363636,23.09090909,0,255,3,109,0,12,14,102,14,22,1,0,43,0,0,94,10,23,1,0,73,0,14.45454545,56.09090909
7.739935,11.359935,17.00207833,33.82207833,0.089530721,0.328253285,2.001211151,3.599150951,0,121,0,28,0,9,10,33,5,6,0,0,10,0,0,32,5,7,1,0,16,0,4.272727273,21.45454545,0,279,1,74,0,19,20,92,14,17,1,0,36,0,0,76,14,25,1,0,54,0,12.81818182,52.90909091
8.568933333,19.42893333,17.96954,43.22954,0.046282394,0.101126992,2.151838273,5.064578473,0,110,0,35,0,4,5,38,5,9,1,0,12,0,0,37,6,14,1,0,21,0,4.636363636,22.45454545,0,236,0,86,0,11,13,82,11,22,1,0,30,0,0,96,14,31,3,0,82,0,14,51.27272727
8.238571667,17.47857167,16.90609833,32.72609833,0.025372797,-0.068173266,2.041209679,4.096065559,0,95,1,34,0,7,4,28,4,4,0,0,10,0,0,23,6,12,0,0,18,0,3.909090909,18.45454545,0,291,3,79,0,15,18,92,18,19,1,0,38,0,0,74,14,25,1,0,41,0,12.18181818,54.09090909
