Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Occupant #
240,0,0,0,240,3
240,0,0,0,240,3
180,0,0,0,180,3
180,0,0,51,180,3
180,0,0,0,180,3
180,0,0,0,180,3
180,0,0,52,180,3
180,0,0,0,180,3
180,0,0,0,180,3
180,0,0,45,180,3
180,0,0,48,180,3
180,0,0,0,180,3
180,0,0,0,180,3
180,0,0,0,180,3
216,0,0,0,240,3
180,0,0,0,180,3
240,0,0,0,240,3
287,0,0,45,300,3
232,0,0,0,240,3
180,0,0,0,180,3
240,0,0,0,240,3
180,0,0,0,180,3
180,0,0,22,180,3
180,0,0,0,180,3
240,0,0,0,240,3
180,0,0,50,180,3
180,0,0,0,180,3
220,0,0,27,240,3
180,0,0,0,180,3
180,0,45,50,180,3
180,0,0,0,180,3
240,0,0,39,240,3
240,0,0,13,240,3
240,0,0,0,240,3
240,0,0,0,240,3
180,0,0,2,180,3
180,0,0,0,180,3
153,0,0,51,180,3
180,0,0,0,180,3
180,0,0,0,180,3
174,0,0,0,180,4
8,0,0,0,180,4
93,0,0,56,240,4
12,0,0,40,240,4
97,0,0,22,180,4
101,0,0,57,240,4
115,0,0,0,240,4
76,0,0,0,180,4
133,0,0,0,240,4
12,0,0,0,240,4
46,0,0,0,180,4
53,0,0,0,240,4
49,0,0,0,180,4
134,0,0,0,180,4
75,0,0,0,240,4
86,0,0,106,240,4
63,0,0,0,240,4
78,0,0,0,240,4
18,0,0,0,240,4
49,0,0,0,180,4
11,0,0,30,180,4
68,0,0,58,240,4
0,0,33,0,240,4
33,0,0,0,180,4
122,0,0,0,180,4
105,0,0,0,180,4
74,0,0,0,240,4
94,0,0,0,240,4
91,0,0,24,180,4
120,0,0,0,240,4
88,0,0,50,180,4
42,0,0,0,180,4
27,13,0,9,180,4
156,0,0,0,240,4
173,0,0,0,240,4
63,0,0,50,180,4
26,0,0,0,240,4
53,0,0,0,180,4
66,0,0,0,240,4
88,0,7,0,180,4
51,0,0,0,180,4
69,0,0,0,180,4
48,0,0,0,180,4
184,0,0,0,240,4
106,0,0,0,240,4
154,0,0,0,240,4
25,0,0,55,180,4
30,0,10,0,180,4
25,0,0,0,240,4
55,0,49,0,180,4
56,0,0,4,180,4
38,0,32,0,180,4
121,0,0,0,240,4
124,0,0,0,240,4
66,0,0,0,180,4
40,0,0,0,180,4
0,0,0,0,180,4
53,0,56,0,180,4
65,0,0,0,180,4
0,0,0,13,240,4
88,0,0,0,240,4
37,0,0,0,180,4
38,0,0,0,240,4
120,0,0,12,180,4
58,0,0,0,240,4
0,0,0,0,180,4
48,0,0,52,180,4
0,0,0,0,240,4
78,0,0,0,180,4
60,0,0,45,240,4
89,0,0,48,240,4
39,0,0,0,180,4
105,0,0,0,240,4
60,0,0,0,240,4
0,0,0,0,180,4
16,0,0,0,180,4
26,0,0,0,180,4
146,0,0,45,240,4
48,0,0,0,240,4
106,0,0,0,180,4
47,0,0,0,240,4
46,0,0,0,180,4
32,0,0,0,180,4
87,0,0,0,180,4
107,0,0,0,240,4
57,0,0,50,240,4
50,0,0,21,180,4
157,0,0,0,180,4
25,0,0,0,240,4
20,0,45,41,180,4
144,0,0,0,180,4
68,0,0,39,240,4
45,0,0,36,240,4
114,0,0,0,240,4
0,0,0,0,180,4
38,0,0,0,180,4
131,0,0,0,240,4
54,0,0,6,180,4
105,0,0,0,240,4
88,0,0,0,180,4
0,0,0,0,240,5
67,0,0,0,180,5
29,0,0,56,180,5
90,0,0,19,240,5
80,0,0,22,180,5
45,0,0,57,180,5
27,0,0,0,180,5
177,0,0,0,240,5
56,0,0,0,180,5
23,0,0,0,240,5
0,0,0,0,240,5
55,0,0,0,180,5
0,0,0,0,180,5
0,0,0,0,180,5
31,0,0,0,180,5
33,0,0,59,180,5
41,0,0,0,180,5
61,0,0,0,240,5
0,0,0,0,180,5
45,0,0,0,180,5
0,0,0,30,240,5
57,0,0,20,180,5
0,0,33,0,180,5
43,0,0,0,240,5
80,0,0,0,180,5
0,0,0,0,180,5
49,0,0,0,240,5
0,0,0,0,240,5
76,0,0,24,180,5
0,0,0,0,240,5
62,0,0,50,240,5
0,0,0,0,180,5
0,0,0,0,180,5
20,0,0,0,180,5
60,0,0,0,180,5
51,0,0,0,180,5
