Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
34,0,0,0,4
35,0,0,0,4
45,0,0,4,4
21,0,0,0,4
26,0,0,0,4
51,0,0,0,4
14,0,0,0,4
16,0,0,0,4
0,0,0,13,4
12,0,3,0,4
22,0,0,0,4
10,0,0,0,4
0,0,0,0,4
129,0,0,0,4
41,0,0,0,4
60,0,0,1,4
87,0,0,0,4
45,0,5,9,4
50,0,0,0,4
27,0,0,0,4
68,0,0,0,4
112,0,0,0,4
58,0,0,0,4
0,0,0,0,4
84,0,0,0,4
53,0,0,0,4
69,0,6,0,4
37,0,0,0,4
54,0,0,0,4
48,0,0,0,4
54,0,0,0,4
105,0,0,0,4
48,0,7,0,4
70,0,0,0,4
10,0,0,9,4
37,0,0,0,4
21,0,0,0,4
58,0,0,4,4
19,0,6,11,4
59,0,0,0,4
11,0,0,0,4
37,0,0,0,4
37,0,0,0,4
0,0,0,0,4
60,0,0,13,4
14,0,0,0,4
26,0,0,4,4
35,0,0,0,4
88,0,0,0,4
38,0,0,0,4
10,0,0,7,4
93,0,0,0,4
16,0,0,0,4
33,0,0,11,4
0,0,0,0,4
28,0,0,0,4
67,0,0,4,4
76,0,0,9,4
75,0,0,0,4
61,0,0,11,4
15,0,0,0,4
0,0,0,0,4
16,0,0,0,4
0,0,0,0,4
18,0,0,0,4
26,0,0,0,4
69,0,0,7,4
0,0,0,0,4
33,0,0,0,4
18,0,0,0,4
101,0,0,0,4
47,0,0,0,4
12,0,0,5,4
34,0,0,6,4
69,0,0,0,4
37,0,0,0,4
40,0,0,0,4
56,0,0,0,4
32,0,0,13,4
80,0,0,6,4
88,0,0,6,4
0,0,0,0,4
79,0,8,0,4
30,0,0,1,4
79,0,0,0,4
52,0,0,0,4
50,0,0,3,4
0,0,0,0,5
15,0,0,0,5
41,0,0,0,5
20,0,0,11,5
0,0,8,0,5
10,30,0,11,5
21,0,0,0,5
58,0,0,0,5
36,0,0,0,5
10,0,0,0,5
0,0,5,0,5
34,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
20,0,0,0,5
19,0,0,0,5
58,0,0,0,5
0,0,0,0,5
15,0,0,0,5
0,0,0,0,5
64,0,0,11,5
0,0,3,0,5
0,0,0,0,5
41,0,0,0,5
10,0,0,0,5
52,0,0,0,5
14,0,0,0,5
0,0,0,1,5
21,0,0,0,5
48,0,5,0,5
29,0,0,0,5
0,0,0,0,5
0,0,0,0,5
98,0,0,0,5
0,0,0,0,5
24,0,0,0,5
0,0,0,0,5
10,0,0,0,5
12,0,6,5,5
0,0,0,0,5
0,0,0,0,5
18,0,0,0,5
72,0,0,0,5
40,0,0,0,5
15,39,7,0,5
0,0,0,0,5
0,26,0,0,5
0,0,0,0,5
0,12,0,0,5
0,0,0,0,5
11,0,6,0,5
41,0,0,0,5
0,0,0,0,5
26,26,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,26,0,0,5
0,0,0,0,5
22,0,0,0,5
0,0,0,0,5
0,0,0,0,5
13,0,0,0,5
0,0,0,11,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
41,0,0,9,5
0,0,0,0,5
15,0,0,11,5
0,0,0,0,5
35,0,0,0,5
14,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
51,0,0,7,5
14,0,0,0,5
17,0,0,0,5
20,0,0,0,5
53,0,0,0,5
0,0,0,0,5
0,26,0,5,5
0,0,0,0,5
21,0,0,0,5
0,26,0,0,5
13,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,6,5
10,0,0,0,5
0,0,0,0,5
0,0,8,2,5
40,0,0,0,5
0,0,0,0,5
13,0,0,0,5
0,0,0,3,5
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,11,6
0,0,8,0,6
0,0,0,11,6
0,0,0,0,6
0,0,0,0,6
0,51,0,0,6
0,0,0,0,6
0,0,5,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,3,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,11,6
0,0,3,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,1,6
0,0,0,0,6
0,0,5,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,6,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,7,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,6,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,13,0,6
0,0,0,0,6
0,0,0,11,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,9,6
0,0,0,0,6
0,0,0,11,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,7,6
0,0,0,0,6
0,240,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,5,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,6,6
0,0,0,0,6
0,0,0,0,6
0,0,8,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,0,6
0,0,0,3,6
0,240,6,0,7
0,240,0,0,7
0,180,0,0,7
0,220,16,11,7
0,180,8,0,7
0,240,0,11,7
0,180,13,0,7
0,180,0,0,7
0,240,0,0,7
0,180,0,0,7
0,180,5,0,7
0,180,0,0,7
0,180,10,0,7
0,240,0,0,7
0,180,11,0,7
0,180,0,0,7
0,220,0,0,7
0,180,4,0,7
0,201,2,0,7
0,180,0,0,7
0,240,0,0,7
0,180,0,11,7
0,180,3,0,7
0,240,0,0,7
0,180,0,0,7
0,180,0,0,7
0,180,2,0,7
0,180,0,0,7
0,180,5,1,7
0,180,5,0,7
0,180,5,0,7
0,180,0,0,7
0,180,0,0,7
0,180,13,0,7
0,180,11,0,7
0,240,0,0,7
0,180,0,0,7
0,180,0,0,7
0,300,9,0,7
0,240,6,0,7
0,180,14,0,7
0,240,13,0,7
0,240,1,0,7
0,180,12,0,7
0,180,6,0,7
0,180,7,0,7
0,180,0,0,7
0,199,0,0,7
0,180,0,0,7
0,180,0,0,7
0,240,0,0,7
0,240,6,0,7
0,180,9,0,7
0,180,2,0,7
0,180,0,0,7
0,180,5,0,7
0,180,0,0,7
0,180,0,0,7
0,240,0,0,7
0,180,0,0,7
0,180,7,0,7
0,180,0,0,7
0,210,0,0,7
0,180,0,0,7
0,180,0,0,7
0,180,1,0,7
0,180,0,11,7
0,180,13,0,7
0,180,0,0,7
0,180,0,0,7
0,180,5,9,7
0,180,13,0,7
0,240,9,11,7
0,240,8,0,7
0,180,0,0,7
0,240,0,0,7
0,180,0,0,7
0,180,7,0,7
0,240,0,0,7
0,180,8,7,7
0,180,0,0,7
0,240,0,0,7
0,180,3,0,7
0,180,6,0,7
0,180,8,0,7
0,180,0,5,7
0,240,0,0,7
0,240,0,0,7
0,240,6,0,7
0,180,0,0,7
0,180,14,0,7
0,180,0,0,7
0,240,2,6,7
0,180,0,0,7
0,180,0,0,7
0,180,8,0,7
0,180,0,0,7
0,300,0,0,7
0,180,6,0,7
0,180,3,3,7
180,0,0,0,8
180,0,0,0,8
240,0,0,0,8
180,0,0,11,8
180,0,8,8,8
180,0,0,11,8
180,0,0,0,8
180,0,0,0,8
240,0,0,0,8
180,0,0,0,8
180,0,5,5,8
240,0,0,0,8
240,0,0,0,8
240,0,0,0,8
180,0,0,0,8
240,0,0,10,8
180,0,0,0,8
180,0,0,0,8
180,0,0,0,8
240,0,0,0,8
240,0,0,0,8
240,0,0,11,8
180,0,3,11,8
180,0,0,0,8
240,0,0,0,8
240,0,0,0,8
180,0,0,0,8
226,0,0,3,8
180,0,0,1,8
180,0,0,0,8
180,0,5,12,8
300,0,0,0,8
180,0,0,0,8
221,0,0,0,8
240,0,0,0,8
180,0,0,8,8
223,0,0,10,8
180,0,0,0,8
180,0,0,0,8
180,0,6,12,8
240,0,0,0,8
240,0,0,0,8
180,0,0,0,8
180,0,0,0,8
240,0,0,0,8
240,0,7,3,8
240,0,0,0,8
180,0,0,0,8
180,0,0,0,8
240,0,0,0,8
180,0,0,0,8
240,0,6,7,8
180,0,0,0,8
240,0,0,0,8
180,0,0,0,8
180,0,0,0,8
180,0,0,0,8
180,0,0,13,8
240,0,0,0,8
180,0,0,7,8
240,0,0,0,8
180,0,0,0,8
180,0,0,0,8
240,0,0,12,8
180,0,0,0,8
180,0,0,0,8
180,0,0,11,8
180,0,0,0,8
180,0,0,0,8
180,0,0,7,8
180,0,0,9,8
240,0,0,0,8
180,0,0,11,8
180,0,0,0,8
180,0,0,0,8
180,0,0,0,8
180,0,0,0,8
240,0,0,0,8
180,0,0,0,8
240,0,0,7,8
240,0,0,0,8
240,0,0,0,8
180,0,0,0,8
240,0,0,0,8
180,0,0,0,8
180,0,0,5,8
227,0,0,18,8
180,0,0,0,8
180,0,0,0,8
180,0,0,5,8
180,0,0,0,8
180,0,0,0,8
180,0,0,6,8
180,0,0,0,8
180,0,0,0,8
300,0,8,7,8
180,0,0,8,8
180,0,0,0,8
180,0,0,0,8
240,0,0,3,8
0,0,0,0,9
13,0,0,0,9
0,0,0,0,9
28,0,0,11,9
96,0,8,0,9
68,0,0,11,9
31,0,0,0,9
13,0,0,0,9
30,0,0,0,9
34,0,0,0,9
0,0,5,0,9
0,0,0,0,9
49,0,0,0,9
84,0,0,0,9
64,0,0,0,9
0,0,0,0,9
52,0,0,0,9
0,0,0,0,9
0,17,0,0,9
38,0,0,0,9
80,0,0,0,9
68,0,0,11,9
105,0,3,0,9
78,0,0,0,9
49,0,0,0,9
44,0,0,0,9
73,0,0,0,9
54,0,0,0,9
0,40,0,1,9
31,0,0,0,9
29,0,5,0,9
61,0,0,0,9
22,0,0,0,9
51,0,0,0,9
21,21,0,0,9
12,0,0,0,9
73,0,0,0,9
54,0,0,0,9
96,0,0,0,9
2,0,6,0,9
103,0,0,0,9
43,0,0,0,9
42,0,0,0,9
20,0,0,0,9
8,0,0,0,9
0,0,7,0,9
92,0,0,0,9
34,0,0,0,9
78,0,0,0,9
46,0,0,0,9
35,0,0,0,9
41,0,6,0,9
0,0,0,0,9
52,0,0,0,9
45,6,0,0,9
66,0,0,0,9
87,0,0,0,9
11,0,0,0,9
0,0,0,0,9
103,0,0,3,9
0,15,0,0,9
2,0,0,0,9
33,0,0,0,9
17,0,0,0,9
38,0,0,0,9
11,0,0,0,9
48,0,0,11,9
44,0,0,0,9
84,0,0,0,9
0,0,0,0,9
0,31,0,9,9
21,11,0,0,9
30,0,0,11,9
0,0,0,0,9
75,0,0,0,9
25,0,0,0,9
49,0,0,0,9
39,0,0,0,9
58,0,0,0,9
12,0,0,7,9
10,0,0,0,9
124,0,0,0,9
30,0,0,0,9
15,0,0,0,9
12,0,0,0,9
39,0,0,5,9
109,0,0,0,9
19,0,0,0,9
56,0,0,0,9
67,0,0,0,9
54,0,0,0,9
53,0,0,0,9
8,16,0,6,9
28,0,0,0,9
46,0,0,0,9
43,0,8,0,9
14,0,0,0,9
13,30,0,0,9
49,0,0,0,9
108,0,0,3,9
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,11,10
0,0,8,0,10
0,0,0,11,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,5,0,10
0,0,0,0,10
0,0,0,0,10
0,180,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,11,10
0,0,3,0,10
0,0,0,0,10
0,0,0,0,10
0,180,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,1,10
0,0,0,0,10
0,180,5,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,19,6,0,10
0,0,0,0,10
0,0,0,0,10
0,180,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,7,0,10
0,0,0,0,10
0,94,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,6,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,56,0,0,10
0,0,0,0,10
0,0,0,0,10
0,70,0,0,10
0,0,0,0,10
0,32,0,0,10
0,0,0,0,10
0,0,0,0,10
0,240,0,0,10
0,214,0,0,10
0,0,0,11,10
0,0,0,0,10
0,0,0,0,10
0,17,0,0,10
0,101,0,9,10
0,69,0,0,10
0,0,0,11,10
0,0,0,0,10
0,180,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,240,0,7,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,240,0,0,10
0,0,0,0,10
0,65,0,5,10
0,240,0,0,10
0,0,0,0,10
0,26,0,0,10
0,240,0,0,10
0,0,0,0,10
0,0,0,0,10
0,117,0,6,10
0,0,0,0,10
0,174,0,0,10
0,0,8,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,0,10
0,0,0,3,10
0,300,0,0,11
0,0,8,0,11
0,144,12,0,11
0,21,3,11,11
0,300,8,0,11
0,180,3,11,11
0,152,6,0,11
0,0,0,0,11
0,80,0,0,11
0,180,14,0,11
0,219,5,0,11
0,240,0,0,11
0,180,0,0,11
0,300,12,0,11
0,138,5,0,11
0,180,0,0,11
0,145,0,0,11
0,180,11,0,11
0,107,5,0,11
0,0,4,0,11
0,180,0,0,11
0,240,1,11,11
0,168,3,0,11
0,179,0,0,11
0,300,2,0,11
0,300,10,0,11
0,180,0,0,11
0,180,0,0,11
0,200,8,1,11
0,180,6,0,11
0,180,5,0,11
0,180,1,0,11
0,300,7,0,11
0,180,9,0,11
0,180,0,0,11
0,300,0,0,11
0,167,2,0,11
0,240,13,0,11
0,180,9,0,11
0,240,6,0,11
0,180,0,0,11
0,180,0,0,11
0,240,0,0,11
0,90,0,0,11
0,300,11,0,11
0,97,7,0,11
0,300,0,0,11
0,148,0,0,11
0,240,10,0,11
0,175,0,0,11
0,0,0,0,11
0,116,6,0,11
0,180,2,0,11
0,218,18,0,11
0,180,10,0,11
0,0,9,0,11
0,180,13,0,11
0,43,0,0,11
0,0,0,0,11
0,152,0,0,11
0,152,9,0,11
0,240,3,0,11
0,153,6,0,11
0,240,0,0,11
