Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],FF (HVAC) [kWh],FF (HVAC and Personal Equipment) [kWh],Cost (HVAC) [kWh],Cost (HVAC and Personal Equipment) [kWh],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
9.10736833333333,22.5488683333333,0.0557749669011038,0.148109561505011,2.30138292808,6.08440371057995,0,36,3,20,0,3,7,37,8,10,0,0,13,0,0,16,3,5,0,0,22,0
8.23874333333332,15.7194933333333,0.0646357866768043,0.176555917055939,2.09422606855,4.33678700905004,0,42,6,32,0,3,14,30,7,7,1,0,14,0,0,6,7,5,0,0,14,0
8.389155,15.854155,0.0416455882982921,0.142158875449494,2.10033846102,4.25868327402005,0,36,1,22,0,0,11,39,4,8,0,0,13,0,0,13,4,9,0,0,13,0
8.04839166666666,16.6206416666667,0.063357063776601,0.142798925084533,2.04408637028,4.46673380377995,0,63,1,31,0,1,12,30,4,4,1,0,7,0,0,11,7,10,0,0,17,0
7.97122666666667,15.4347266666666,0.0711130109815926,0.122845316274751,2.03509706402,4.08687346652,0,62,4,36,0,0,13,40,7,11,0,0,16,0,0,11,7,4,0,0,13,0
8.85527166666668,19.9285216666666,0.0781345089403719,0.218284490958595,2.27163872153,5.69086764952994,0,61,4,29,0,3,9,35,10,8,0,0,12,0,0,13,5,9,0,0,21,0
8.30947,15.77022,0.081916467852505,0.230158114790757,2.13716788272,4.54985885022004,0,64,1,30,0,0,10,29,5,3,1,0,12,0,0,18,6,4,0,0,12,0
8.30195833333334,18.0777083333333,0.0519439747313207,0.104296720825681,2.09255597167,4.72297724016995,0,29,0,42,0,3,7,34,4,9,0,0,10,0,0,11,5,7,0,0,11,0
8.17948166666667,15.6704816666667,0.0575817913571238,0.138025379705934,2.06939043614,4.19626782614005,0,58,3,12,0,3,13,39,2,6,0,0,7,0,0,17,5,2,1,0,10,0
8.29631,16.18006,0.072431182634002,0.218808208953062,2.11998748038,4.62251368487998,0,46,4,27,0,1,12,27,7,5,1,0,15,0,0,11,8,7,1,0,7,0
