Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins]
8.874205,23.537455,19.61393,55.16493,0.095111994,0.146651505,2.303459225,6.344108008,0,44,1,31,0,0,10,32,1,8,0,0,15,0,0,19,7,7,0,0,20,0,4.909090909,12.81818182,0,110,5,74,0,5,33,97,9,25,2,0,46,0,0,35,14,20,2,0,65,0,16,33.27272727
7.253843333,11.04084333,16.99822833,33.97222833,0.14651772,0.350007705,1.95494727,3.580178082,0,47,1,41,0,0,7,44,4,9,0,0,13,0,0,6,7,8,0,0,16,0,4.363636364,14.09090909,0,132,6,87,0,4,36,121,12,19,0,0,34,0,0,24,18,24,0,0,39,0,13.18181818,37.36363636
8.475638333,15.92338833,17.49550333,37.29875333,0.03110666,0.14617048,2.107629118,4.290300503,0,45,3,37,0,1,10,41,3,7,0,0,9,0,0,13,4,9,0,0,9,0,3.454545455,13.90909091,0,120,6,71,0,5,35,115,13,20,1,0,26,0,0,35,20,19,1,0,52,0,14,35
8.044295,16.162295,17.498485,40.894485,0.080572404,0.209561143,2.06705351,4.581304238,0,49,2,26,0,3,10,38,2,8,0,0,14,0,0,12,4,9,1,0,16,0,4.454545455,13.18181818,0,141,13,80,0,8,23,77,10,14,3,0,56,0,0,37,12,18,3,0,33,0,13.90909091,34.09090909
7.912501667,15.33100167,17.58733167,40.45183167,0.100204418,0.242011991,2.061220017,4.469634888,0,53,0,26,0,2,12,33,11,8,1,0,13,0,0,11,2,5,0,0,26,0,5.909090909,12.54545455,0,117,5,71,0,9,41,92,17,15,1,0,35,0,0,27,7,9,0,0,82,0,17.09090909,30.90909091
7.613255,16.157255,16.96629667,36.49029667,0.10254369,0.114435536,1.986558292,4.252072492,0,63,4,31,0,1,9,29,3,5,0,0,11,0,0,14,5,10,0,0,11,0,3.909090909,13.90909091,0,133,8,68,0,4,25,88,8,13,1,0,49,0,0,37,16,21,1,0,26,0,12.18181818,33.09090909
7.319548333,11.12679833,16.17747,31.80297,0.095093567,0.300266715,1.899895585,3.426381592,0,38,1,25,0,0,9,38,7,6,1,0,9,0,0,12,9,8,0,0,16,0,4.727272727,11.54545455,0,119,7,72,0,3,24,93,14,15,1,0,28,0,0,29,25,26,1,0,233,0,30.27272727,32.45454545
8.518486667,17.17548667,18.188655,40.579155,0.063318682,0.153482291,2.163422884,4.653597835,0,36,2,25,0,1,5,35,5,6,0,0,12,0,0,15,12,7,0,0,15,0,4.636363636,11.36363636,0,108,6,98,0,4,16,90,14,14,1,0,32,0,0,33,24,23,1,0,42,0,12.36363636,33.63636364
8.147618333,16.80361833,17.84515833,39.53640833,0.086853904,0.149967382,2.102704021,4.540588173,0,49,1,15,0,3,4,39,4,8,0,0,7,0,0,11,11,8,0,0,16,0,3.909090909,12.09090909,0,116,4,46,0,6,24,106,11,22,1,0,30,0,0,34,23,19,1,0,61,0,14.09090909,31.72727273
7.712006667,12.93300667,17.00792167,34.25467167,0.093127683,0.244890928,1.999005759,3.780229724,0,46,1,30,0,3,2,41,2,8,0,0,6,0,0,13,5,8,1,0,23,0,3.636363636,13.54545455,0,143,10,80,0,8,32,129,10,13,3,0,37,0,0,29,11,19,2,0,37,0,12.90909091,38.27272727
