Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],Occupant #
180,0,0,0,1
180,0,2,11,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
180,0,0,0,1
180,0,0,0,1
180,0,0,0,1
180,0,5,4,1
180,0,0,0,1
240,0,0,0,1
180,0,14,8,1
300,0,0,0,1
180,0,0,0,1
229,0,0,8,1
115,0,0,0,2
69,0,2,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,8,2
139,0,0,0,2
180,0,0,0,2
114,0,5,0,2
152,0,0,0,2
106,0,0,0,2
168,0,14,4,2
132,0,0,0,2
191,0,0,0,2
185,0,0,0,2
180,0,0,0,3
179,0,2,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
180,0,0,0,3
240,0,0,0,3
180,0,0,0,3
180,0,5,0,3
180,0,0,0,3
240,0,0,0,3
180,0,14,7,3
237,0,0,0,3
180,0,0,0,3
176,0,0,0,3
100,0,0,0,4
16,0,2,0,4
36,0,0,0,4
113,0,5,4,4
10,0,0,0,4
45,0,0,0,4
38,0,14,9,4
30,0,0,0,4
0,0,0,0,4
50,0,0,0,4
70,0,0,0,4
0,0,0,0,4
36,0,0,0,4
113,0,5,4,4
10,0,0,0,4
45,0,0,0,4
38,0,14,9,4
30,0,0,0,4
0,0,0,0,4
50,0,0,0,4
70,0,0,0,4
0,0,0,0,4
36,0,0,0,4
113,0,5,4,4
10,0,0,0,4
45,0,0,0,4
38,0,14,9,4
30,0,0,0,4
0,0,0,0,4
50,0,0,0,4
70,0,0,0,4
0,0,0,0,4
36,0,0,0,4
113,0,5,4,4
10,0,0,0,4
45,0,0,0,4
38,0,14,9,4
30,0,0,0,4
0,0,0,0,4
50,0,0,0,4
70,0,0,0,4
0,0,0,0,4
36,0,0,0,4
