Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
0,59,0,21,240,10,11,9
91,0,0,0,180,6,4,9
61,0,20,0,180,6,8,9
38,0,0,0,180,8,4,9
2,17,0,0,240,6,7,9
0,0,0,0,180,4,2,9
0,24,0,0,240,6,9,9
56,0,0,0,180,7,5,9
61,0,0,0,180,8,5,9
30,0,0,0,180,11,10,9
69,0,0,0,180,5,5,9
0,0,7,0,180,3,4,9
0,21,0,0,180,5,13,9
43,0,0,0,180,6,3,9
15,0,0,0,180,7,4,9
46,0,0,0,180,7,5,9
42,0,0,0,180,6,10,9
0,18,0,0,180,6,6,9
37,0,5,0,240,9,9,9
0,21,0,0,180,8,9,9
65,0,0,0,180,6,6,9
10,11,0,0,180,6,10,9
55,0,0,0,180,5,7,9
0,0,0,0,240,4,5,9
12,0,0,59,240,8,7,9
0,0,0,0,180,2,5,9
46,0,0,0,240,7,8,9
0,0,0,0,180,6,5,9
81,0,0,57,240,5,6,9
27,11,0,0,240,9,13,9
2,0,0,0,240,3,9,9
43,0,0,39,180,8,6,9
37,0,0,31,180,12,8,9
10,0,0,0,180,7,6,9
25,0,0,0,180,8,9,9
20,0,0,0,180,9,4,9
54,0,7,0,180,9,4,9
64,0,0,0,240,9,6,9
15,0,0,0,240,9,7,9
74,0,0,0,180,5,3,9
92,0,0,0,240,10,7,9
0,0,31,0,240,5,9,9
18,0,0,0,180,8,8,9
29,0,0,42,240,10,7,9
10,0,22,0,180,4,8,9
10,0,0,0,180,8,4,9
67,0,0,0,240,5,5,9
38,0,0,0,180,5,7,9
134,0,0,0,240,9,9,9
25,0,0,0,240,12,7,9
20,0,0,0,180,10,5,9
2,0,0,0,180,7,9,9
10,0,0,0,240,7,12,9
156,0,0,0,240,8,6,9
0,41,0,20,180,3,3,9
70,0,0,0,240,9,6,9
27,17,0,0,240,8,8,9
0,56,0,0,240,7,8,9
60,0,0,0,180,4,5,9
34,23,0,0,300,9,12,9
0,17,0,0,300,6,10,9
29,0,0,0,180,6,5,9
35,0,0,0,180,4,3,9
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,180,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,180,0,0,180,0,0,10
0,0,0,56,180,1,0,10
0,0,0,0,180,1,0,10
0,0,53,0,240,0,0,10
0,0,0,57,180,0,0,10
0,0,0,0,180,0,0,10
0,180,0,0,180,0,0,10
0,0,0,56,180,1,0,10
0,0,0,0,180,1,0,10
0,0,53,0,240,0,0,10
0,0,0,57,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,47,0,240,0,0,10
0,0,0,0,240,0,0,10
0,69,0,0,300,2,0,10
0,180,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,0,0,59,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,0,0,30,180,0,0,10
0,240,0,9,240,0,0,10
0,0,33,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,0,0,21,240,0,0,10
0,0,0,0,180,0,0,10
0,180,20,0,180,0,0,10
0,0,0,0,240,1,0,10
0,0,0,0,240,0,0,10
0,0,0,0,180,1,0,10
0,0,0,0,240,1,0,10
0,0,0,0,240,0,0,10
0,45,0,0,180,2,0,10
0,0,0,0,240,0,0,10
0,0,0,0,240,1,0,10
0,0,7,0,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,240,0,0,240,0,0,10
0,0,0,0,180,0,0,10
0,0,5,0,240,0,0,10
0,0,0,0,240,0,0,10
0,180,0,0,180,1,0,10
0,226,0,0,240,1,0,10
0,0,0,0,180,0,0,10
0,0,0,0,300,1,0,10
0,240,0,59,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,74,0,0,180,1,0,10
0,0,0,57,240,0,0,10
0,180,0,0,180,1,0,10
0,0,0,0,240,1,0,10
0,0,0,39,240,2,0,10
0,0,0,31,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,77,7,0,180,1,0,10
0,0,0,0,240,1,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,1,0,10
0,0,0,0,240,0,0,10
0,0,31,0,300,0,0,10
0,240,0,0,240,0,0,10
0,0,0,42,240,1,0,10
0,0,22,0,240,1,0,10
0,0,0,0,240,0,0,10
0,0,0,0,240,1,0,10
0,0,0,0,180,1,0,10
0,180,0,0,180,0,0,10
0,0,0,0,240,1,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,0,0,10
0,180,0,0,180,0,0,10
0,0,0,20,180,0,0,10
0,0,0,0,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,240,1,0,10
0,0,0,0,180,1,0,10
0,0,0,0,240,0,0,10
0,0,0,0,240,0,0,10
0,0,0,0,180,0,0,10
0,0,0,0,180,0,0,10
0,300,0,0,300,10,0,11
0,300,45,0,300,13,0,11
0,175,4,0,180,8,0,11
0,300,45,0,300,13,0,11
0,175,4,0,180,8,0,11
0,0,0,56,180,7,0,11
0,156,0,0,180,10,0,11
0,300,53,0,300,11,0,11
0,180,0,57,240,11,0,11
0,300,45,0,300,13,0,11
0,175,4,0,180,8,0,11
0,0,0,56,180,7,0,11
0,156,0,0,180,10,0,11
0,300,53,0,300,11,0,11
0,180,0,57,240,11,0,11
0,290,3,0,300,15,0,11
0,0,0,0,180,13,0,11
0,80,0,0,240,12,0,11
0,180,29,0,180,11,0,11
0,32,47,0,240,12,0,11
0,240,10,0,240,14,0,11
0,180,46,0,180,12,0,11
0,300,57,0,300,13,0,11
0,138,33,0,240,12,0,11
0,180,0,59,180,7,0,11
0,212,47,0,240,10,0,11
0,180,0,0,240,17,0,11
0,145,35,0,180,6,0,11
0,0,19,0,300,16,0,11
0,180,15,30,180,9,0,11
0,240,0,9,240,10,0,11
0,9,33,0,240,20,0,11
0,179,0,0,180,5,0,11
0,300,32,0,300,11,0,11
0,300,13,0,300,14,0,11
0,180,28,0,180,12,0,11
0,94,0,0,180,12,0,11
0,119,13,21,300,14,0,11
0,0,36,0,180,12,0,11
0,180,20,0,240,15,0,11
0,180,1,0,180,10,0,11
0,300,0,0,300,8,0,11
0,180,0,0,180,7,0,11
0,180,0,0,180,3,0,11
0,262,0,0,300,12,0,11
0,167,0,0,180,9,0,11
0,240,43,0,240,15,0,11
0,180,45,0,180,7,0,11
0,240,7,0,240,11,0,11
0,180,52,0,180,8,0,11
0,63,33,0,240,19,0,11
0,163,0,0,180,9,0,11
0,180,48,0,180,5,0,11
0,300,16,0,300,9,0,11
0,83,41,0,240,7,0,11
0,240,5,0,240,15,0,11
0,111,2,0,300,14,0,11
0,93,0,0,180,6,0,11
0,233,0,0,240,12,0,11
0,240,51,0,240,12,0,11
0,182,0,0,240,10,0,11
0,300,37,59,300,10,0,11
0,180,0,0,180,5,0,11
0,28,40,0,180,9,0,11
0,240,0,0,240,13,0,11
0,180,0,57,240,10,0,11
0,0,0,0,180,13,0,11
0,0,0,0,180,11,0,11
0,300,38,39,300,21,0,11
0,237,0,31,300,11,0,11
0,180,9,0,180,5,0,11
0,180,0,0,180,6,0,11
0,180,39,0,240,8,0,11
0,180,7,0,180,6,0,11
0,0,0,0,180,18,0,11
0,121,16,0,180,11,0,11
0,300,5,0,300,11,0,11
0,0,22,0,240,12,0,11
0,0,31,0,180,12,0,11
0,300,0,0,300,11,0,11
0,240,0,42,240,14,0,11
0,222,22,0,300,20,0,11
0,240,0,0,240,11,0,11
0,101,0,0,180,12,0,11
0,0,25,0,300,22,0,11
0,300,26,0,300,10,0,11
0,300,10,0,300,16,0,11
0,0,24,0,180,12,0,11
0,180,7,0,180,10,0,11
0,141,0,0,240,3,0,11
0,180,56,0,240,24,0,11
0,180,0,20,180,13,0,11
0,56,17,0,300,10,0,11
0,180,0,0,180,3,0,11
0,240,0,0,240,3,0,11
0,180,51,0,180,7,0,11
0,180,0,0,180,10,0,11
0,240,30,0,240,5,0,11
0,63,6,0,180,9,0,11
0,180,0,0,180,14,0,11
