Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
86,0,0,0,240,2,37,2
119,0,0,0,180,3,21,2
99,0,0,0,180,2,22,2
112,0,0,0,180,2,18,2
24,0,0,0,180,1,36,2
240,0,0,0,240,1,25,2
56,0,0,0,240,1,42,2
202,0,0,0,240,0,1,3
180,0,0,0,180,0,3,3
180,0,0,0,180,0,3,3
180,0,0,0,180,0,3,3
180,0,0,0,180,0,3,3
196,0,0,56,240,0,4,3
240,0,0,14,240,0,3,3
176,0,53,11,240,0,11,3
95,0,0,57,180,0,2,3
180,0,0,0,180,0,3,3
180,0,0,0,180,0,3,3
196,0,0,56,240,0,4,3
240,0,0,14,240,0,3,3
176,0,53,11,240,0,11,3
95,0,0,57,180,0,2,3
240,0,0,0,240,0,1,3
240,0,0,0,240,0,3,3
180,0,0,0,180,0,2,3
300,0,0,0,300,0,6,3
240,0,47,0,240,0,3,3
180,0,0,0,180,0,3,3
180,0,0,0,180,0,2,3
240,0,0,0,240,0,2,3
180,0,0,0,180,0,1,3
227,0,0,59,240,0,3,3
180,0,0,0,180,0,6,3
180,0,0,0,180,0,2,3
240,0,0,0,240,0,3,3
180,0,0,0,180,0,0,3
174,0,0,30,180,0,2,3
180,0,0,9,180,0,3,3
180,0,33,44,180,0,5,3
180,0,0,0,180,0,1,3
180,0,0,0,180,0,5,3
236,0,0,0,240,0,5,3
203,0,0,0,240,0,4,3
180,0,0,0,180,0,1,3
180,0,0,21,180,0,3,3
180,0,0,0,180,0,1,3
240,0,20,55,240,0,4,3
180,0,0,0,180,0,2,3
180,0,0,39,180,0,3,3
240,0,0,0,240,0,5,3
180,0,0,0,180,0,3,3
180,0,0,52,180,0,4,3
180,0,0,0,180,0,2,3
180,0,0,0,180,0,2,3
180,0,0,0,180,0,2,3
180,0,7,33,180,0,3,3
180,0,0,0,180,0,3,3
240,0,0,0,240,0,2,3
240,0,0,0,240,0,3,3
240,0,0,0,240,0,5,3
180,0,0,0,180,0,0,3
240,0,0,0,240,0,5,3
240,0,5,57,240,0,3,3
180,0,0,0,180,0,3,3
158,0,0,0,240,0,4,3
229,0,0,34,240,0,3,3
300,0,0,0,300,0,3,3
180,0,0,11,180,0,2,3
180,0,0,59,180,0,0,3
180,0,0,0,180,0,1,3
180,0,0,0,180,0,3,3
188,0,0,0,240,0,4,3
180,0,0,57,180,0,1,3
180,0,0,0,180,0,3,3
180,0,0,33,180,0,4,3
180,0,0,39,180,0,2,3
180,0,0,31,180,0,4,3
180,0,0,0,180,0,1,3
240,0,0,0,240,0,4,3
240,0,0,0,240,0,3,3
180,0,7,0,180,0,1,3
143,0,0,21,180,0,4,3
180,0,0,0,180,0,3,3
240,0,0,0,240,0,3,3
180,0,0,0,180,0,2,3
180,0,31,0,180,0,0,3
180,0,0,0,180,0,4,3
180,0,0,42,180,0,1,3
180,0,22,24,180,0,3,3
180,0,0,0,180,0,1,3
180,0,0,51,180,0,1,3
180,0,0,0,180,0,2,3
240,0,0,0,240,0,5,3
180,0,0,0,180,0,2,3
240,0,0,0,240,0,2,3
213,0,0,0,300,0,6,3
177,0,0,0,180,0,2,3
180,0,0,0,180,0,1,3
180,0,0,20,180,0,3,3
180,0,0,0,180,0,4,3
240,0,0,0,240,0,4,3
180,0,0,0,180,0,3,3
176,0,0,0,180,0,3,3
158,0,0,0,180,0,3,3
176,0,0,0,180,0,5,3
240,0,0,0,240,0,1,3
180,0,0,0,180,0,4,3
51,0,0,0,240,10,40,4
48,0,0,0,180,7,28,4
23,0,0,0,180,10,33,4
48,0,0,0,180,7,28,4
23,0,0,0,180,10,33,4
33,0,0,56,240,11,29,4
12,0,0,40,240,11,42,4
10,0,53,0,180,4,29,4
53,0,0,57,240,10,35,4
48,0,0,0,180,7,28,4
23,0,0,0,180,10,33,4
33,0,0,56,240,11,29,4
12,0,0,40,240,11,42,4
10,0,53,0,180,4,29,4
53,0,0,57,240,10,35,4
78,0,0,0,240,12,31,4
66,0,0,0,180,3,28,4
12,0,0,0,240,7,43,4
28,0,0,0,240,10,39,4
26,0,0,0,180,12,18,4
0,0,0,0,240,5,40,4
23,0,0,0,180,9,38,4
91,0,0,0,180,13,25,4
46,0,0,30,240,7,39,4
97,0,0,59,240,10,37,4
66,0,0,0,240,10,38,4
53,0,0,0,240,9,36,4
31,0,0,0,240,11,39,4
14,0,0,0,180,10,29,4
7,0,0,30,180,7,33,4
20,0,0,9,240,3,38,4
2,0,33,0,240,4,46,4
16,0,0,0,180,10,42,4
35,0,0,0,180,7,27,4
34,0,0,0,180,10,24,4
129,0,0,0,240,6,29,4
52,0,0,0,240,8,42,4
48,0,0,21,180,9,20,4
63,0,0,0,240,10,40,4
35,0,20,50,180,8,24,4
42,0,0,0,180,9,35,4
12,0,0,44,180,10,28,4
49,0,0,0,240,12,41,4
129,0,0,0,240,15,32,4
0,0,0,0,180,11,35,4
0,0,0,0,240,6,55,4
84,0,0,0,180,12,21,4
25,0,0,0,240,11,48,4
38,0,7,0,180,7,20,4
62,0,0,0,300,12,50,4
54,0,0,45,240,9,41,4
58,0,0,0,300,9,42,4
54,0,0,0,240,9,46,4
30,0,0,0,240,12,43,4
0,0,0,0,180,1,28,4
99,0,5,0,240,8,31,4
82,0,0,0,240,11,38,4
41,0,0,0,180,5,34,4
35,0,0,25,180,12,27,4
111,0,0,0,240,9,42,4
55,0,0,37,180,4,24,4
14,0,0,59,180,9,43,4
61,0,0,0,240,14,34,4
52,0,0,0,180,6,22,4
0,0,0,0,240,6,40,4
2,0,0,57,180,15,34,4
77,0,0,0,300,22,47,4
26,0,0,0,180,7,23,4
43,0,0,39,180,10,32,4
0,0,0,31,240,9,54,4
27,0,0,0,300,11,60,4
0,0,0,0,240,9,44,4
119,0,0,0,180,6,24,4
10,0,7,0,240,10,47,4
99,0,0,36,240,15,38,4
85,0,0,0,240,9,36,4
